epoch,accuracy,loss,val_accuracy,val_loss
0,0.71744794,1.348001290888836,0.7875,0.4094992712140083
1,0.8391927,0.3501294577339043,0.89375,0.2088408425450325
2,0.8795573,0.25287043167433393,0.86875,0.21103249341249466
3,0.87434894,0.25852062650180113,0.95,0.1195710651576519
4,0.92057294,0.17819259564081827,0.925,0.1385733772069216
5,0.9270833,0.16306436975719407,0.79375,0.6310981929302215
6,0.9264323,0.15954552749947956,0.95625,0.10134843029081822
7,0.93815106,0.14103595363849308,0.93125,0.1498267501592636
8,0.9453125,0.11890473566018045,0.925,0.17158838137984275
9,0.93619794,0.15586297373617222,0.9875,0.0688827708363533
10,0.95703125,0.09751053326423668,0.94375,0.10672663967125118
11,0.95963544,0.09235160388683046,0.9625,0.06598989479243755
12,0.96028644,0.09963873313972726,0.9375,0.1224836640059948
13,0.96744794,0.08269510064019414,0.925,0.141588643938303
14,0.9641927,0.08538550639696041,0.9625,0.08880161903798581
15,0.9654948,0.08216712470645386,0.925,0.18563235700130462
16,0.9733073,0.06638799083581641,0.96875,0.053388222306966784
17,0.97591144,0.06441643701494588,0.95625,0.0827380632981658
18,0.97786456,0.05788157428423801,0.9625,0.10519720155280084
19,0.96744794,0.0727157161248518,0.96875,0.08175053820014
20,0.9817708,0.046363261568937254,0.96875,0.056189409783110024
21,0.9791667,0.055943516685071394,0.91875,0.27956670597195626
22,0.97526044,0.06369002819489349,0.9625,0.11821284759789705
23,0.98567706,0.03793063155232327,0.95,0.13056176877580583
24,0.9869792,0.052307509607165535,0.9875,0.04672208472620696
25,0.98372394,0.05182035572094416,0.9875,0.05106653911061585
26,0.99088544,0.028571967337967408,0.96875,0.06721598410513252
27,0.99153644,0.03483389331836406,0.95625,0.15721291480585933
28,0.99348956,0.02165674551458589,0.9625,0.11099835122877266
29,0.9869792,0.04649651982259684,0.93125,0.13628453020937742
